LocationID,LocationName
1,Abundant Shrine
2,Abyssal Ruins
3,Accumula Town
4,Anville Town
5,Battle Subway
6,Big Stadium
7,Small Court
8,Black City
9,Castelia City
10,Celestial Tower
11,Challenger's Cave
12,Chargestone Cave
13,Cold Storage
14,Desert Resort 
15,Dragonspiral Tower
16,Dreamyard
17,Driftveil City
18,Driftveil Drawbridge
19,Entralink
20,Faraway place
21,Giant Chasm
22,Icirrus City
23,Lacunosa Town
24,Liberty Garden
25,Lostlorn Forest
26,Marvelous Bridge
27,Mistralton Cave
28,Mistralton City
29,Moor of Icirrus
30,N's Castle
31,Nacrene City
32,Nimbasa City
33,Nuvema Town
34,Opelucid City
35,P2 Laboratory
36,Passerby Analytics HQ
37,Pinwheel Forest
38,Poke Mart
39,Poke Transfer Lab
40,Pokemon Day Care
41,Pokemon League
42,Relic Castle
43,Royal Unova
44,Shopping Mall Nine
45,Skyarrow Bridge
46,Striaton City
47,Tubeline Bridge
48,Twist Mountain
49,Undella Bay
50,Undella Town
51,Union Room
52,Unity Tower
53,Victory Road
54,Village Bridge
55,Wellspring Cave
56,White Forest
57,Route 1
58,Route 2
59,Route 3
60,Route 4
61,Route 5
62,Route 6
63,Route 7
64,Route 8
65,Route 9
66,Route 10
67,Route 11
68,Route 12
69,Route 13
70,Route 14
71,Route 15
72,Route 16
73,Route 17
74,Route 18